-0.836,-0.907,-0.880
0.918,0.797,1.084
0.250,0.142,-0.173
-1.003,-0.907,-1.006
-0.126,0.273,-0.368
0.250,-0.252,0.003
1.043,1.059,1.012
0.625,0.273,0.075
1.001,0.273,0.508
-0.001,-0.252,-0.119
1.168,0.928,0.544
0.166,0.273,0.324
-1.003,-0.514,-0.934
-1.337,-0.907,-1.272
0.458,0.535,0.065
-0.168,-0.383,-0.501
0.291,-0.120,-0.026
0.250,0.142,-0.069
0.166,0.404,-0.083
-1.629,-1.431,-1.406
0.709,0.928,0.594
0.625,0.142,0.061
1.085,0.535,0.598
-0.168,-0.383,-0.465
-0.126,-0.120,-0.429
-0.293,-0.514,-0.393
0.375,0.535,-0.119
-0.001,0.404,0.328
0.542,1.059,0.508
-0.460,0.142,-0.840
0.834,0.535,0.450
-0.251,0.142,-0.541
0.959,0.928,0.663
0.542,0.404,0.003
-0.043,-0.907,-0.296
-1.295,-1.038,-1.269
-0.878,-0.645,-0.970
0.124,0.011,0.075
-0.711,-1.562,-0.790
0.458,0.273,0.097
-0.377,-1.038,-0.898
-1.086,-0.907,-1.045
0.458,0.142,0.364
0.625,0.273,0.274
0.918,0.928,0.601
-0.335,-0.252,-0.617
0.208,0.535,0.220
0.959,1.059,0.472
0.166,0.273,-0.235
-0.627,-0.645,-0.645
1.085,1.583,1.632
-1.337,-1.169,-1.150
-0.627,-0.252,-0.739
0.500,0.011,0.183
0.792,0.535,0.634
-0.418,-0.383,-0.645
1.252,0.404,1.301
1.001,0.273,0.652
0.208,0.404,-0.249
0.709,0.273,0.335
-0.001,0.535,0.256
0.542,0.273,0.003
0.291,0.535,0.248
1.001,0.928,1.156
0.876,0.797,0.760
-0.001,0.404,-0.253
-0.001,-0.776,-0.429
-0.084,-0.252,-0.397
-0.377,0.535,-0.004
0.250,0.142,-0.105
-0.878,-0.645,-1.099
-0.502,-0.120,-0.465
0.333,0.142,0.057
0.208,-0.776,-0.177
0.375,0.011,0.086
1.085,0.666,1.156
0.458,0.273,0.364
-0.126,-0.383,-0.256
-0.627,-0.120,-0.934
0.542,-0.120,0.292
0.375,0.011,0.003
-0.084,-0.120,0.090
0.250,0.273,-0.310
0.208,0.273,0.364
0.625,-0.252,0.421
-0.001,0.142,-0.465
-0.418,-0.514,-0.501
-0.084,-0.120,-0.033
0.083,0.273,-0.328
-0.460,0.273,0.111
-0.168,-0.120,-0.537
-1.045,-0.252,-0.970
-0.084,0.404,-0.609
-0.460,1.059,-0.753
0.792,0.404,0.811
-2.965,-2.217,-1.669
0.333,0.273,0.065
-1.587,-1.300,-1.294
-0.377,-0.645,-0.501
-0.001,0.011,-0.213
-2.422,-1.693,-1.391
-1.253,-0.776,-0.981
-0.502,-0.776,-0.642
-1.796,-0.907,-1.128
-0.001,-0.383,-0.321
0.667,0.142,0.436
0.625,-0.120,0.097
1.043,1.190,1.059
-0.544,-0.776,-0.934
-0.084,-0.776,-0.717
-0.418,0.142,-0.357
0.792,0.535,0.299
0.083,-0.252,-0.260
1.001,0.535,0.558
0.500,0.797,0.364
0.751,0.535,0.652
-0.460,1.059,-0.642
-1.003,-1.038,-0.934
0.041,0.011,-0.209
-1.086,-0.907,-1.035
-0.460,-0.383,-0.559
0.709,0.273,0.176
0.208,0.273,-0.213
-0.251,0.404,0.057
-0.043,-0.645,-0.141
1.252,0.797,1.697
0.250,-0.120,-0.130
1.085,0.273,0.472
0.417,1.452,1.661
-1.671,-1.693,-1.078
-0.460,-0.383,-0.609
-0.460,-0.645,-0.609
-0.084,-0.120,-0.177
-1.170,-0.907,-1.006
-0.377,0.142,-0.591
1.001,0.535,0.688
-0.418,-0.645,-0.887
-1.587,-1.693,-1.114
-0.919,-0.645,-0.984
0.041,0.011,-0.069
0.208,-0.383,-0.177
-0.669,0.142,-0.790
0.041,-0.252,-0.213
-1.170,-1.169,-1.078
-1.253,-1.169,-1.060
-1.629,-1.431,-1.294
-0.043,0.142,-0.537
0.458,-0.120,-0.051
